,video_id,channel_id
29,YkGeOCP0JgU,UCG4fqU419F_vnBkIfSyR9Yg
0,D3xQ_NS0Hro,No Data
1,XJFu0oJwdpw,No Data
2,rskvlVMoYZE,UCqly9F4Fr_jf2Y1Cy5hacRg
3,T6LPSNcsEw4,No Data
4,oWxN_S8ANGY,No Data
5,wIdrjXroKC0,UC4QadOSsJu54Qs8z99shRiQ
6,gUukLb9ViRQ,No Data
7,6qT5wAc3fEY,UC499RUHBCxesTo_ppKPlfhg
8,_TM_GRv-0FY,No Data
9,_tjVER3BDW8,UCQBG3PzyQKY8ieMG2gDAyOQ
10,_j2MiTRDkuY,UCWbB8rGkcOc58YYS0QaCG3w
11,3p7W5r4t3As,UCR1zT1s524Hbc85bdvno_8w
12,rmON2pSUdqM,UCQ3Kgx1G1NkELoJ8tJ3uelg
13,_-gu6jeUTYk,No Data
14,HHaPe2vOFpM,No Data
15,eMONEl5YQxQ,UCyo6aLuDHbUoNTv-NR-Y0NA
16,V-Ocqn6itNQ,No Data
17,RbXbsr256j0,No Data
18,vUBq5g0wpss,No Data
19,04YcnWKdOb0,UC0e87WXu_SJhrc8tb08qyaQ
20,x2Sp2ARYcSY,UC_giNzXnIMihPb8ERG_4kSw
21,pFQvMoJRo2U,No Data
22,5Jkij23bedk,No Data
23,YIjcz8xlYjg,UCzw-C7fNfs018R1FzIKnlaA
24,dzxFdtWmjto,UCz97F7dMxBNOfGYu3rx8aCw
25,0gIU760wZ7I,No Data
26,LyhoUNm3xwo,UCcvLSRIWJIAGFDyWtzkbiHA
27,DL-KkzTShAc,No Data
28,_MfVpGaUhYQ,UCGbOTPDlBwkN-4N85dK6U7Q
29,WRTJ-1CNrt4,UCFtVzEblikHdro4J5HeMo4w
0,TdWHNVpSTlI,No Data
1,cnril81nZbQ,UCZm4hXoFy5ynSaGXVfP-NGQ
2,S-xBo-o6Ky0,UCrPG99iyp64FDF8MrB9uVPA
3,OfbtARuVWew,No Data
4,W8vgIXxJRtc,UCutJqz56653xV2wwSvut_hQ
5,G06gCDESJzk,UCgMPP6RRjktV7krOfyUewqw
6,icL2CMKWRuA,No Data
7,rEYbXVnAoIw,No Data
8,bmQj-ORcsUU,No Data
9,GDmhf5xJ4Qs,No Data
10,DXkHvEVCF14,UCfVqLqmH2M9V-jlxGipZSGA
11,cvMURFcXFlE,UCQUdNis13Y2bXiV7fssSNCg
12,pL2iEKcpkaE,No Data
